cfg,path_off,path,pre16_hex,post48_hex,pre_minus8_u32le_a,pre_minus4_u32le_b
冒泡游戏320480/网游/gwy/cfg.bin,494,gwy/caclottery.mrp,000000000000000000003e800000000f,6777792f6361636c6f74746572792e6d72700000000000000000000000000000000000000000000000001c00000000526777792f656d626672642e6d727000000000,2151546880,251658240
冒泡游戏320480/网游/gwy/cfg.bin,542,gwy/embfrd.mrp,000000000000000000001c0000000052,6777792f656d626672642e6d7270000000000000000000000000000000000000000000000000000000003200000000236777792f6361636c6f6262792e6d,1835008,1375731712
冒泡游戏320480/网游/gwy/cfg.bin,590,gwy/caclobby.mrp,00000000000000000000320000000023,6777792f6361636c6f6262792e6d727000000000000000000000000000000000000000000000000000003500000000236777792f6361636368617267652e6d72,3276800,587202560
冒泡游戏320480/网游/gwy/cfg.bin,638,gwy/caccharge.mrp,00000000000000000000350000000023,6777792f6361636368617267652e6d7270000000000000000000000000000000000000000000000000003380000000016777792f63616364647a616e692e6d7270,3473408,587202560
冒泡游戏320480/网游/gwy/cfg.bin,686,gwy/cacddzani.mrp,00000000000000000000338000000001,6777792f63616364647a616e692e6d7270000000000000000000000000000000000000000000000000003280000000016777792f6361637075626c69632e6d7270,2150825984,16777216
冒泡游戏320480/网游/gwy/cfg.bin,734,gwy/cacpublic.mrp,00000000000000000000328000000001,6777792f6361637075626c69632e6d7270000000000000000000000000000000000000000000000000003b000000000b6777792f6361636d617463682e6d727000,2150760448,16777216
冒泡游戏320480/网游/gwy/cfg.bin,782,gwy/cacmatch.mrp,000000000000000000003b000000000b,6777792f6361636d617463682e6d727000000000000000000000000000000000000000000000000000003600000000016777792f6361636d6f6e657972616e6b,3866624,184549376
冒泡游戏320480/网游/gwy/cfg.bin,830,gwy/cacmoneyrank.mrp,00000000000000000000360000000001,6777792f6361636d6f6e657972616e6b2e6d7270000000000000000000000000000000000000000000003700000000016777792f6361636d73672e6d7270000000000000,3538944,16777216
冒泡游戏320480/网游/gwy/cfg.bin,878,gwy/cacmsg.mrp,00000000000000000000370000000001,6777792f6361636d73672e6d7270000000000000000000000000000000000000000000000000000000003400000000016777792f63616370726f66696c65,3604480,16777216
冒泡游戏320480/网游/gwy/cfg.bin,926,gwy/cacprofile.mrp,00000000000000000000340000000001,6777792f63616370726f66696c652e6d72700000000000000000000000000000000000000000000000003800000000016777792f63616369737375652e6d72700000,3407872,16777216
冒泡游戏320480/网游/gwy/cfg.bin,974,gwy/cacissue.mrp,00000000000000000000380000000001,6777792f63616369737375652e6d7270000000000000000000000000000000000000000000000000000000000000001a00000000000000000000000000000000,3670016,16777216
冒泡游戏320480/网游/gwy/cfg.bin,1227,gwy/xaqd.mrp,0000000001e8e0000000020000000005,6777792f786171642e6d72700000000000000000000000000000000000000000000000000000000003050607ffffffffffffffffffffffffffffffff,131072,83886080
冒泡游戏320480/网游/gwy/cfg.bin,1499,gwy/sanguo.mrp,00000000018500000000020000000005,6777792f73616e67756f2e6d7270000000000000000000000000000000000000000000000000000003080409ffffffffffffffffffffffffffffffff0000,131072,83886080
冒泡游戏320480/网游/gwy/cfg.bin,1771,gwy/gkdxy.mrp,0000000001e9c0000000020000000001,6777792f676b6478792e6d72700000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff00,131072,16777216
冒泡游戏320480/网游/gwy/cfg.bin,2043,gwy/zsol.mrp,0000000001e72a000000020000000001,6777792f7a736f6c2e6d72700000000000000000000000000000000000000000000000000000000003050409ffffffffffffffffffffffffffffffff,131072,16777216
冒泡游戏320480/网游/gwy/cfg.bin,2315,gwy/wxjwq.mrp,0000000001e5c0000000020000000005,6777792f77786a77712e6d72700000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff00,131072,83886080
冒泡游戏320480/网游/gwy/cfg.bin,2587,gwy/ssjx.mrp,0000000001e440000000020000000005,6777792f73736a782e6d7270000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff,131072,83886080
冒泡游戏320480/网游/gwy/cfg.bin,2859,gwy/sanguo.mrp,00000000018500000000020000651005,6777792f73616e67756f2e6d7270000000000000000000000000000000000000000000000000000003080409ffffffffffffffffffffffffffffffff0000,131072,84960512
冒泡游戏320480/网游/gwy/cfg.bin,3131,gwy/xyol.mrp,0000000001e5b0000000020000000005,6777792f78796f6c2e6d7270000000000000000000000000000000000000000000000000000000000803ffffffffffffffffffffffffffffffffffff,131072,83886080
冒泡游戏320480/网游/gwy/cfg.bin,3403,gwy/yxlm.mrp,0000000001e7a0000000020000000005,6777792f79786c6d2e6d7270000000000000000000000000000000000000000000000000000000000803ffffffffffffffffffffffffffffffffffff,131072,83886080
冒泡游戏320480/网游/gwy/cfg.bin,4219,gwy/ajss.mrp,0000000001e530000000020000000010,6777792f616a73732e6d7270000000000000000000000000000000000000000000000000000000000503ffffffffffffffffffffffffffffffffffff,131072,268435456
冒泡游戏320480/网游/gwy/cfg.bin,4491,gwy/spacetime.mrp,0000000001d600000000020000000005,6777792f737061636574696d652e6d727000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff0000000000,131072,83886080
冒泡游戏320480/网游/gwy/cfg.bin,4763,gwy/tlbb.mrp,0000000001e800000000020000000005,6777792f746c62622e6d72700000000000000000000000000000000000000000000000000000000003050409ffffffffffffffffffffffffffffffff,131072,83886080
冒泡游戏320480/网游/gwy/cfg.bin,5035,gwy/tyol.mrp,0000000001e6d0000000020000000010,6777792f74796f6c2e6d7270000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff,131072,268435456
冒泡游戏320480/网游/gwy/cfg.bin,5307,gwy/smd.mrp,0000000001e890000000020000000001,6777792f736d642e6d727000000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffff,131072,16777216
冒泡游戏320480/网游/gwy/cfg.bin,5579,gwy/wapgame.mrp,00000000012a01000000890000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,8978432,15774464
冒泡游戏320480/网游/gwy/cfg.bin,5851,gwy/cacddz.mrp,00000000013202c600010100061a8101,6777792f63616364647a2e6d727000000000000000000000000000000000000000000000000000000a0b0c030d0e0f04090805ffffffffffffffffff0000,65792,25238022
冒泡游戏320480/网游/gwy/cfg.bin,6123,gwy/sgmj.mrp,0000000001e960000000020000000010,6777792f73676d6a2e6d7270000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff,131072,268435456
冒泡游戏320480/网游/gwy/cfg.bin,6395,gwy/wapgame.mrp,00000000012a01000000010000b31100,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,65536,1159936
冒泡游戏320480/网游/gwy/cfg.bin,7755,gwy/wapgame.mrp,00000000012a01000000a30000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,10682368,15774464
冒泡游戏320480/网游/gwy/cfg.bin,8027,gwy/assg.mrp,0000000001e950000000020000000005,6777792f617373672e6d7270000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff,131072,83886080
冒泡游戏320480/网游/gwy/cfg.bin,8831,gwy/yxlm.mrp,0000000001e7a0000000020000000005,6777792f79786c6d2e6d7270000000000000000000000000000000000000000000000000000000000803ffffffffffffffffffffffffffffffffffff,131072,83886080
冒泡游戏320480/网游/gwy/cfg.bin,9095,gwy/smd.mrp,0000000001e890000000020000000001,6777792f736d642e6d727000000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffff,131072,16777216
冒泡游戏320480/网游/gwy/cfg.bin,9359,gwy/wapgame.mrp,00000000012a01000000010000b31100,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,65536,1159936
冒泡游戏320480/网游/gwy/cfg.bin,9623,gwy/wapgame.mrp,00000000012a01000000010000b30200,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,65536,176896
冒泡游戏320480/网游/gwy/cfg.bin,9887,gwy/assg.mrp,0000000001e950000000020000000005,6777792f617373672e6d7270000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff,131072,83886080
冒泡游戏320480/网游/gwy/cfg.bin,10151,gwy/bbjq.mrp,0000000001e8d0000000020000000005,6777792f62626a712e6d7270000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff,131072,83886080
冒泡游戏320480/网游/gwy/cfg.bin,10415,gwy/wapgame.mrp,00000000012a01000687e30000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,14911238,15774464
冒泡游戏320480/网游/gwy/cfg.bin,10679,gwy/gkdxy.mrp,0000000001e9c0000000020000000001,6777792f676b6478792e6d72700000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff00,131072,16777216
冒泡游戏320480/网游/gwy/cfg.bin,10943,gwy/jjfb.mrp,0000000001e200000000020000000001,6777792f6a6a66622e6d7270000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff,131072,16777216
冒泡游戏320480/网游/gwy/cfg.bin,11207,gwy/wapgame.mrp,00000000012a01000626910000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,9512454,15774464
冒泡游戏320480/网游/gwy/cfg.bin,11471,gwy/wapgame.mrp,00000000012a01000626710000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,7415302,15774464
冒泡游戏320480/网游/gwy/cfg.bin,11735,gwy/wapgame.mrp,00000000012a01000626690000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,6891014,15774464
冒泡游戏320480/网游/gwy/cfg.bin,13059,gwy/wapgame.mrp,00000000012a010000271d0000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,1910528,15774464
冒泡游戏320480/网游/gwy/cfg.bin,13323,gwy/wapgame.mrp,00000000012a010000006a0000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,6946816,15774464
冒泡游戏320480/网游/gwy/cfg.bin,13587,gwy/wapgame.mrp,00000000012a010000009e0000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,10354688,15774464
冒泡游戏320480/网游/gwy/cfg.bin,13851,gwy/wapgame.mrp,00000000012a010006266e0000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,7218694,15774464
冒泡游戏320480/网游/gwy/cfg.bin,14119,gwy/cacddz.mrp,00000000013202c600010100061a8101,6777792f63616364647a2e6d727000000000000000000000000000000000000000000000000000000a0b0c030d0e0f04090805ffffffffffffffffff0000,65792,25238022
冒泡游戏320480/网游/gwy/cfg.bin,14383,gwy/cacgang5.mrp,00000000013202c600040000061a8101,6777792f63616367616e67352e6d72700000000000000000000000000000000000000000000000000b0c030d0f040908050affffffffffffffffffff00000000,1024,25238022
冒泡游戏320480/网游/gwy/cfg.bin,14647,gwy/caczjh.mrp,00000000013202c6000d0200061a8101,6777792f6361637a6a682e6d727000000000000000000000000000000000000000000000000000000b0c030d0f04090805ffffffffffffffffffffff0000,134400,25238022
冒泡游戏320480/网游/gwy/cfg.bin,14911,gwy/cacnn.mrp,00000000013202c600050000061a8101,6777792f6361636e6e2e6d72700000000000000000000000000000000000000000000000000000000b0c030d0f04090805ffffffffffffffffffffff00,1280,25238022
冒泡游戏320480/网游/gwy/cfg.bin,15175,gwy/caccharge.mrp,000000000135000000000200061a8101,6777792f6361636368617267652e6d72700000000000000000000000000000000000000000000000030f04090805ffffffffffffffffffffffffffff0000000000,131072,25238022
冒泡游戏320480/网游/gwy/cfg.bin,15439,gwy/caclottery.mrp,00000000013e83000003f000061a8101,6777792f6361636c6f74746572792e6d7270000000000000000000000000000000000000000000000f0d0408030509ffffffffffffffffffffffffff000000000000,15729408,25238022
冒泡游戏320480/网游/gwy/cfg.bin,15703,gwy/caclottery.mrp,00000000013e800000000200061a8101,6777792f6361636c6f74746572792e6d7270000000000000000000000000000000000000000000000f0d0409080305ffffffffffffffffffffffffff000000000000,131072,25238022
冒泡游戏320480/网游/gwy/cfg.bin,15967,gwy/cacachmt.mrp,00000000013480000000020000000001,6777792f6361636163686d742e6d727000000000000000000000000000000000000000000000000003ffffffffffffffffffffffffffffffffffffff00000000,131072,16777216
冒泡游戏320480/网游/gwy/cfg.bin,16231,gwy/cacprize.mrp,00000000013a00000000020000000001,6777792f6361637072697a652e6d7270000000000000000000000000000000000000000000000000030d04090f0805ffffffffffffffffffffffffff00000000,131072,16777216
冒泡游戏320480/网游/gwy/cfg.bin,16495,gwy/cacddz.mrp,00000000013b02c8000101000003f001,6777792f63616364647a2e6d727000000000000000000000000000000000000000000000000000000b10030d0e0f04090805ffffffffffffffffffff0000,65792,32506624
冒泡游戏320480/网游/gwy/cfg.bin,16759,gwy/wapgame.mrp,00000000012a01000687f40000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,16025350,15774464
冒泡游戏320480/网游/gwy/cfg.bin,17023,gwy/cacxq.mrp,00000000013202c600030000061a8101,6777792f63616378712e6d72700000000000000000000000000000000000000000000000000000000b0c030d0f040908ffffffffffffffffffffffff00,768,25238022
冒泡游戏320480/网游/gwy/cfg.bin,17287,gwy/cacermj.mrp,00000000013202c600070000061a8101,6777792f63616365726d6a2e6d7270000000000000000000000000000000000000000000000000000b0c030d0f04090805ffffffffffffffffffffff000000,1792,25238022
冒泡游戏320480/网游/gwy/cfg.bin,17551,gwy/cacsk.mrp,00000000013202c600090200061a8101,6777792f636163736b2e6d72700000000000000000000000000000000000000000000000000000000b0c030d0f04090805ffffffffffffffffffffff00,133376,25238022
冒泡游戏320480/网游/gwy/cfg.bin,17815,gwy/cacxq.mrp,00000000013b02c800030000061a8101,6777792f63616378712e6d72700000000000000000000000000000000000000000000000000000000b10030d0f04090805ffffffffffffffffffffff00,768,25238022
冒泡游戏320480/网游/gwy/cfg.bin,18079,gwy/cacusr.mrp,00000000013580000000020000000001,6777792f6361637573722e6d727000000000000000000000000000000000000000000000000000000f0311121314ffffffffffffffffffffffffffff0000,131072,16777216
冒泡游戏320480/网游/gwy/cfg.bin,18347,gwy/wapgame.mrp,00000000012a010000271d0000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,1910528,15774464
冒泡游戏320480/网游/gwy/cfg.bin,18611,gwy/wapgame.mrp,00000000012a01000000980000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff000000,9961472,15774464
