sequence,time_from_case9,operation,detail
13,23,EVENT_TXN,"[EVENT_TXN] op=ACCEPT request_id=2 identity=0xC15442057B8F762F event=0x1E209 app=0x9 ctx=0x6AD12C payload=0x0 stack0=0x0 stack1=0x0 caller_pc=0x304599 insn=2 digest=0xFF5FCBC8 handler=0x30D311 run_id=p17_hit1_20260801_14"
14,25,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=ENQUEUE event=0x1E209 app=0x9 handler=0x30D311 request_id=2 owner=robotol.ext evidence=OBSERVED"
15,26,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
16,27,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
17,28,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SCHEDULE_DRAIN_OUTSIDE_HOOK cont=0x304599 queued=1 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
18,29,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
19,34,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=2 saved_r9=0x0 frame_token=8593105693 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
20,36,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=2 restored_r9=0x0 ok=1 frame_token=8593105693 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
21,40,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=2 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
22,41,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_ENTER depth=1 site=drain_family_events evidence=OBSERVED"
23,43,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER event=0x1E209 app=0x9 handler=0x30D311 r9=0x2B1868 r2=0x0 r3=0x0 request_id=2 evidence=OBSERVED"
24,44,EVENT_DELIVER_ENTER,"[EVENT_DELIVER_ENTER] request_id=2 handler=0x30D311 r0=0x9 r1=0x1E209 r2=0x0 r3=0x0 stack0=0x0 stack1=0x0 ctx=0x6AD12C run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
25,45,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_ENTER handler=0x30D311 request_id=2 stop=0x80000 r0=0x9 r1=0x1E209 r9=0x2B1868 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
26,49,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30E1B0 target=0x305E19 arg0=0x1E209 arg1=0x0"
27,50,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x305E32 target=0x304569 arg0=0x10133 arg1=0x1E205"
28,51,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x10133 r1=0x1E205 r2=0x0 r3=0x0 r4=0x10133 ret=0x0 evidence=TARGET_OBSERVED"
29,52,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_LEAVE handler=0x30D311 request_id=2 end_class=REACHED_STOP reached_stop=1 pc_after=0x80000 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
30,56,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER_DONE ok=1 ret=0 end=stop_at_base end_class=REACHED_STOP reached_stop=1 handler=0x30D311 pc_after=0x80000 stop=0x80000 lr_after=0x304599 lim=5000000 evidence=OBSERVED"
31,58,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_LEAVE depth=0 site=drain_family_events evidence=OBSERVED"
32,59,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
33,60,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
34,61,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
35,62,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
36,63,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
37,64,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
38,66,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=3 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
39,68,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=3 frame_token=12888072989 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
40,77,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
41,78,FFP_GUEST_REQUEST_SAMPLE,"[FFP_GUEST_REQUEST_SAMPLE] n=3 event=0x1E209 app=0x9 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 r5=0x9 r6=0x0 r7=0x280058 stack0=0x0 stack1=0x0 caller_pc=0x304599 caller_lr=0x304599 insn=3 ctx=0x690D04 er_digest=0x3936FB"
42,80,EVENT_TXN,"[EVENT_TXN] op=ACCEPT request_id=3 identity=0xC15442057B8F762F event=0x1E209 app=0x9 ctx=0x6AD12C payload=0x0 stack0=0x0 stack1=0x0 caller_pc=0x304599 insn=3 digest=0xFF5FCBC8 handler=0x30D311 run_id=p17_hit1_20260801_14"
43,82,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=ENQUEUE event=0x1E209 app=0x9 handler=0x30D311 request_id=3 owner=robotol.ext evidence=OBSERVED"
44,83,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
45,84,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
46,85,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SCHEDULE_DRAIN_OUTSIDE_HOOK cont=0x304599 queued=1 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
47,86,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
48,90,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=3 saved_r9=0x0 frame_token=12888072989 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
49,92,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=3 restored_r9=0x0 ok=1 frame_token=12888072989 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
50,96,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=3 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
51,97,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_ENTER depth=1 site=drain_family_events evidence=OBSERVED"
52,99,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER event=0x1E209 app=0x9 handler=0x30D311 r9=0x2B1868 r2=0x0 r3=0x0 request_id=3 evidence=OBSERVED"
53,100,EVENT_DELIVER_ENTER,"[EVENT_DELIVER_ENTER] request_id=3 handler=0x30D311 r0=0x9 r1=0x1E209 r2=0x0 r3=0x0 stack0=0x0 stack1=0x0 ctx=0x6AD12C run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
54,101,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_ENTER handler=0x30D311 request_id=3 stop=0x80000 r0=0x9 r1=0x1E209 r9=0x2B1868 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
55,105,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30E1B0 target=0x305E19 arg0=0x1E209 arg1=0x0"
56,106,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x305E32 target=0x304569 arg0=0x10133 arg1=0x1E205"
57,107,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x10133 r1=0x1E205 r2=0x0 r3=0x0 r4=0x10133 ret=0x0 evidence=TARGET_OBSERVED"
58,108,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_LEAVE handler=0x30D311 request_id=3 end_class=REACHED_STOP reached_stop=1 pc_after=0x80000 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
59,112,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER_DONE ok=1 ret=0 end=stop_at_base end_class=REACHED_STOP reached_stop=1 handler=0x30D311 pc_after=0x80000 stop=0x80000 lr_after=0x304599 lim=5000000 evidence=OBSERVED"
60,114,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_LEAVE depth=0 site=drain_family_events evidence=OBSERVED"
61,115,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
62,116,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
63,117,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
64,118,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
65,119,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
66,120,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
67,122,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=4 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
68,124,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=4 frame_token=17183040285 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
69,133,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
70,134,FFP_GUEST_REQUEST_SAMPLE,"[FFP_GUEST_REQUEST_SAMPLE] n=4 event=0x1E209 app=0x9 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 r5=0x9 r6=0x0 r7=0x280058 stack0=0x0 stack1=0x0 caller_pc=0x304599 caller_lr=0x304599 insn=4 ctx=0x690D04 er_digest=0x3936FB"
71,136,EVENT_TXN,"[EVENT_TXN] op=ACCEPT request_id=4 identity=0xC15442057B8F762F event=0x1E209 app=0x9 ctx=0x6AD12C payload=0x0 stack0=0x0 stack1=0x0 caller_pc=0x304599 insn=4 digest=0xFF5FCBC8 handler=0x30D311 run_id=p17_hit1_20260801_14"
72,138,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=ENQUEUE event=0x1E209 app=0x9 handler=0x30D311 request_id=4 owner=robotol.ext evidence=OBSERVED"
73,139,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
74,140,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
75,141,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SCHEDULE_DRAIN_OUTSIDE_HOOK cont=0x304599 queued=1 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
76,142,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
77,146,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=4 saved_r9=0x0 frame_token=17183040285 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
78,148,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=4 restored_r9=0x0 ok=1 frame_token=17183040285 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
79,152,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=4 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
80,153,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_ENTER depth=1 site=drain_family_events evidence=OBSERVED"
81,155,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER event=0x1E209 app=0x9 handler=0x30D311 r9=0x2B1868 r2=0x0 r3=0x0 request_id=4 evidence=OBSERVED"
82,156,EVENT_DELIVER_ENTER,"[EVENT_DELIVER_ENTER] request_id=4 handler=0x30D311 r0=0x9 r1=0x1E209 r2=0x0 r3=0x0 stack0=0x0 stack1=0x0 ctx=0x6AD12C run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
83,157,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_ENTER handler=0x30D311 request_id=4 stop=0x80000 r0=0x9 r1=0x1E209 r9=0x2B1868 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
84,161,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30E1B0 target=0x305E19 arg0=0x1E209 arg1=0x0"
85,162,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x305E32 target=0x304569 arg0=0x10133 arg1=0x1E205"
86,163,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x10133 r1=0x1E205 r2=0x0 r3=0x0 r4=0x10133 ret=0x0 evidence=TARGET_OBSERVED"
87,164,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_LEAVE handler=0x30D311 request_id=4 end_class=REACHED_STOP reached_stop=1 pc_after=0x80000 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
88,168,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER_DONE ok=1 ret=0 end=stop_at_base end_class=REACHED_STOP reached_stop=1 handler=0x30D311 pc_after=0x80000 stop=0x80000 lr_after=0x304599 lim=5000000 evidence=OBSERVED"
89,170,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_LEAVE depth=0 site=drain_family_events evidence=OBSERVED"
90,175,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
91,176,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
92,177,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
93,178,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
94,179,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
95,180,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
96,182,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=5 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
97,184,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=5 frame_token=21478007581 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
98,193,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
99,194,FFP_GUEST_REQUEST_SAMPLE,"[FFP_GUEST_REQUEST_SAMPLE] n=5 event=0x1E209 app=0x9 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 r5=0x9 r6=0x0 r7=0x280058 stack0=0x0 stack1=0x0 caller_pc=0x304599 caller_lr=0x304599 insn=5 ctx=0x690D04 er_digest=0x3936FB"
100,196,EVENT_TXN,"[EVENT_TXN] op=ACCEPT request_id=5 identity=0xC15442057B8F762F event=0x1E209 app=0x9 ctx=0x6AD12C payload=0x0 stack0=0x0 stack1=0x0 caller_pc=0x304599 insn=5 digest=0xFF5FCBC8 handler=0x30D311 run_id=p17_hit1_20260801_14"
101,198,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=ENQUEUE event=0x1E209 app=0x9 handler=0x30D311 request_id=5 owner=robotol.ext evidence=OBSERVED"
102,199,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
103,200,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
104,201,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SCHEDULE_DRAIN_OUTSIDE_HOOK cont=0x304599 queued=1 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
105,202,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
106,206,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=5 saved_r9=0x0 frame_token=21478007581 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
107,208,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=5 restored_r9=0x0 ok=1 frame_token=21478007581 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
108,212,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=5 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
109,213,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_ENTER depth=1 site=drain_family_events evidence=OBSERVED"
110,215,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER event=0x1E209 app=0x9 handler=0x30D311 r9=0x2B1868 r2=0x0 r3=0x0 request_id=5 evidence=OBSERVED"
111,216,EVENT_DELIVER_ENTER,"[EVENT_DELIVER_ENTER] request_id=5 handler=0x30D311 r0=0x9 r1=0x1E209 r2=0x0 r3=0x0 stack0=0x0 stack1=0x0 ctx=0x6AD12C run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
112,217,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_ENTER handler=0x30D311 request_id=5 stop=0x80000 r0=0x9 r1=0x1E209 r9=0x2B1868 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
113,221,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30E1B0 target=0x305E19 arg0=0x1E209 arg1=0x0"
114,222,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x305E32 target=0x304569 arg0=0x10133 arg1=0x1E205"
115,223,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x10133 r1=0x1E205 r2=0x0 r3=0x0 r4=0x10133 ret=0x0 evidence=TARGET_OBSERVED"
116,224,CALLBACK_FRAME,"[CALLBACK_FRAME] boundary=FAMILY_HANDLER_LEAVE handler=0x30D311 request_id=5 end_class=REACHED_STOP reached_stop=1 pc_after=0x80000 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
117,228,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER_DONE ok=1 ret=0 end=stop_at_base end_class=REACHED_STOP reached_stop=1 handler=0x30D311 pc_after=0x80000 stop=0x80000 lr_after=0x304599 lim=5000000 evidence=OBSERVED"
118,230,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_LEAVE depth=0 site=drain_family_events evidence=OBSERVED"
119,231,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
120,232,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
121,233,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
122,234,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
123,235,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
124,236,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
125,238,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=6 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
126,240,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=6 frame_token=25772974877 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
127,249,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
128,250,FFP_GUEST_REQUEST_SAMPLE,"[FFP_GUEST_REQUEST_SAMPLE] n=6 event=0x1E209 app=0x9 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 r5=0x9 r6=0x0 r7=0x280058 stack0=0x0 stack1=0x0 caller_pc=0x304599 caller_lr=0x304599 insn=6 ctx=0x690D04 er_digest=0x3936FB"
129,252,EVENT_TXN,"[EVENT_TXN] op=ACCEPT request_id=6 identity=0xC15442057B8F762F event=0x1E209 app=0x9 ctx=0x6AD12C payload=0x0 stack0=0x0 stack1=0x0 caller_pc=0x304599 insn=6 digest=0xFF5FCBC8 handler=0x30D311 run_id=p17_hit1_20260801_14"
130,254,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=ENQUEUE event=0x1E209 app=0x9 handler=0x30D311 request_id=6 owner=robotol.ext evidence=OBSERVED"
131,255,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
132,256,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
133,257,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SCHEDULE_DRAIN_OUTSIDE_HOOK cont=0x304599 queued=1 cfn_path=PLATFORM_FAMILY_CALLBACK evidence=OBSERVED"
134,258,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
135,262,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=6 saved_r9=0x0 frame_token=25772974877 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
136,264,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=6 restored_r9=0x0 ok=1 frame_token=25772974877 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
