pc,count
0x312C10,1
0x312C12,1
0x2F4B28,1
0x2F4B2A,1
0x2F4B2C,1
0x2F4B2E,1
0x2F4B30,1
0x2F4B38,1
0x2F4B3A,1
0x2F4B40,1
0x2F4B42,1
0x2F4B48,1
0x2F4B4A,1
0x2F4B4C,1
0x2F4B4E,1
0x2F4B50,1
0x2F4B52,1
0x2F4B62,1
0x2F4B64,1
0x2F4B66,1
0x2F4B68,1
0x2F4B6A,1
0x2F4B34,1
0x2F4B36,1
0x312C16,1
0x312C18,1
0x312C1A,1
0x312C1C,1
0x312C1E,1
0x312C20,1
0x312C22,1
0x312C24,1
0x312C26,1
0x312C28,1
0x312C2A,1
0x312C2C,1
0x312C2E,1
0x312C32,1
0x312C34,1
0x312C36,1
0x312C38,1
0x312C3A,1
0x312C3C,1
0x2DC8E8,1
0x2DC8EA,1
0x30BC40,1
0x30BC42,1
0x30BC44,1
0x30BC46,1
0x30BC48,1
0x30BC4A,1
0x30BC4C,1
0x30BC50,1
0x30BC52,1
0x30BC54,1
0x30BC56,1
0x30BC5A,1
0x2DC8EE,1
0x2DC8F0,1
0x2DC8F2,1
0x2DC8F4,1
0x2DC8F6,1
0x2DC8F8,1
0x2DC93E,1
0x2DC940,1
0x2DC952,1
0x2DC954,1
0x2DC956,1
0x2DC958,1
0x2DC95A,1
0x2DC95C,1
0x2DC960,1
0x2DC846,1
0x305EC2,1
0x305EC4,1
0x305EC6,1
0x305EC8,1
0x305ECA,1
0x305ECC,1
0x305ECE,1
0x305ED0,1
0x305ED2,1
0x305ED4,1
0x305ED6,1
0x305ED8,1
0x305EF8,1
0x30D300,2
0x30D302,2
0x30D304,2
0x30D306,2
0x30D308,2
0x30D30A,2
0x30D30C,2
0x30D30E,2
0x30D310,2
0x30D312,2
0x30D314,2
0x30D316,2
0x30D318,2
0x30D31A,2
0x30D31C,2
0x30D31E,2
0x30E166,1
0x30E168,1
0x2F98A0,1
0x2F98A2,1
0x2F98A4,1
0x2F98A8,1
0x304BB8,1
0x304BBA,1
0x304BBC,1
0x304BBE,1
0x304BC0,1
0x304BC2,1
0x304BC4,1
0x304BC6,1
0x304BC8,1
0x304BCA,1
0x304BCC,1
0x2F98AC,1
0x2F98AE,1
0x2F98B0,1
0x2D8FB4,1
0x2D8FB8,1
0x2D8FBC,1
0x2D9044,1
0x2D9048,1
0x2D904C,1
0x2D9050,1
0x2D9054,1
0x2D9058,1
0x2D905C,1
0x2D9060,1
0x2D9064,1
0x2D9068,1
0x2D906C,1
0x2D9070,1
0x2F98B4,1
0x2F98B6,1
0x30E16C,1
0x30D97A,1
0x30D5DC,2
0x30D5DE,2
0x30E19E,1
0x30E1A0,1
0x30E1A4,1
0x30E1A6,1
0x30D9B6,1
# samples=493 bbs=54
# bb=0x2D93D0
# bb=0x2D93EA
# bb=0x2D946C
# bb=0x2D94DE
# bb=0x2D9500
# bb=0x2D9522
# bb=0x2D9544
# bb=0x305E08
# bb=0x304558
# bb=0x280058
# bb=0x304588
# bb=0x305E26
# bb=0x2D954A
# bb=0x2D957C
# bb=0x280010
# bb=0x2D958E
# bb=0x3045E4
# bb=0x2D9594
# bb=0x2D9562
# bb=0x2FC3D6
# bb=0x2DAE1E
# bb=0x2E406A
# bb=0x2E4194
# bb=0x2E2E86
# bb=0x2DC8D8
# bb=0x312C0C
# bb=0x2F4B28
# bb=0x2F4B34
# bb=0x312C16
# bb=0x312C32
# bb=0x2DC8E8
# bb=0x30BC40
# bb=0x30BC50
# bb=0x30BC5A
# bb=0x2DC8EE
# bb=0x2DC93E
# bb=0x2DC952
# bb=0x2DC846
# bb=0x305EC2
# bb=0x305EF8
# bb=0x30D300
# bb=0x30E166
# bb=0x2F98A0
# bb=0x304BB8
# bb=0x2F98AC
# bb=0x2D8FB4
# bb=0x2D9044
# bb=0x2F98B4
# bb=0x30E16C
# bb=0x30D97A
# bb=0x30D5DC
# bb=0x30E19E
# bb=0x30E1A4
# bb=0x30D9B6
